order_id,order_date,ship_date,ship_mode,customer_id,state,product_id,category,sub_category,sales,quantity,discount,profit
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Texas,TEC-PH-10000486,Technology,Phones,371.168,4,0.2,41.76
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Delaware,TEC-AC-10002167,Technology,Accessories,45,3,0,4.95
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Delaware,TEC-PH-10003988,Technology,Phones,21.8,2,0,6.1
CA-2015-134992,2015-09-22,2015-09-26,Second Class,MG-17875,Virginia,FUR-FU-10002554,Furniture,Furnishings,47.98,2,0,11.0354
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,California,TEC-AC-10004633,Technology,Accessories,13.98,2,0,6.1512
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Arizona,TEC-PH-10002726,Technology,Phones,167.968,4,0.2,62.988
CA-2017-117401,2017-05-18,2017-05-22,Second Class,PP-18955,Missouri,OFF-AP-10000938,Office Supply,Appliances,706.86,7,0,197.9208
CA-2017-992423,2016-03-04,2016-03-07,Standard Class,TS-21370,Texas,TEC-PH-10000169,Technology,Phones,0.01,14,0,0.0019
CA-2016-128223,2016-06-14,2016-06-14,Same Day,EB-13705,California,FUR-TA-10001771,Furniture,Tables,1293.488,7,0,80.843
CA-2017-122735,2017-04-12,2017-04-15,Second Class,BD-11320,Rhode Island,OFF-PA-10001712,Office Supply,Paper,39.96,4,0,17.982
CA-2017-110373,2017-10-27,2017-10-30,Second Class,MA-17560,Illinois,OFF-AR-10003045,Office Supply,Art,7.056,3,0,2.205
CA-2015-146486,2015-11-09,2015-11-14,Second Class,DV-13465,New York,TEC-AC-10002637,Technology,Accessories,899.95,5,0,53.997
CA-2016-133711,2016-11-26,2016-11-29,First Class,MC-17425,Alabama,OFF-PA-10001685,Office Supply,Paper,70.98,7,0,34.7802
CA-2015-111297,2015-08-17,2015-08-21,Standard Class,SC-20440,Massachusetts,OFF-BI-10002412,Office Supply,Binders,52.2,9,0,23.49
US-2016-719719,2015-06-11,2015-06-13,Standard Class,BH-11710,Virginia,FUR-TA-10003238,Furniture,Tables,318.4227,13,0,144.8193
CA-2016-136021,2016-08-14,2016-08-18,Standard Class,JM-15580,California,TEC-MA-10000423,Technology,Machines,105.552,6,0,35.6238
CA-2016-113138,2016-11-19,2016-11-25,Standard Class,NP-18685,New York,OFF-BI-10000320,Office Supply,Binders,17.712,3,0,6.4206
CA-2017-101210,2017-08-25,2017-08-28,Second Class,DW-13540,Tennessee,OFF-PA-10000130,Office Supply,Paper,3.424,1,0,1.07
CA-2014-102652,2014-04-06,2014-04-12,Standard Class,AY-10555,California,FUR-FU-10001918,Furniture,Furnishings,0,7,0,0
CA-2017-117821,2017-06-12,2017-06-16,Standard Class,HG-15025,Ohio,TEC-AC-10004469,Technology,Accessories,63.92,2,0,19.176
CA-2017-479992,2017-08-07,2017-08-08,Second Class,SB-20290,Missouri,FUR-FU-10002111,Furniture,Furnishings,294.4734,8,0,
CA-2017-154935,2017-12-24,2017-12-29,Standard Class,AR-10540,New York,OFF-BI-10003708,Office Supply,Binders,17.88,3,0,5.5875
CA-2017-160885,2017-12-02,2017-12-06,Standard Class,JK-16090,Nebraska,TEC-PH-10001795,Technology,Phones,2479.96,4,0,743.988
US-2016-167472,2016-06-06,2016-06-07,First Class,CK-12595,Arkansas,TEC-AC-10003038,Technology,Accessories,26.85,3,0,
US-2014-159618,2014-11-12,2014-11-16,Standard Class,DB-12970,Texas,TEC-AC-10003832,Technology,Accessories,79.512,3,0,20.87
CA-2017-100111,2017-09-20,2017-09-26,Standard Class,SV-20365,New York,FUR-CH-10004086,Furniture,Chairs,2888.127,11,0,609.7157
CA-2017-157966,2017-03-13,2017-03-13,Same Day,SU-20665,Illinois,OFF-AR-10000799,Office Supply,Art,19.456,4,0,2.1888
CA-2014-131247,2014-03-30,2014-04-04,Standard Class,GA-14725,California,FUR-BO-10001337,Furniture,Bookcases,205.666,2,0,-12.098
US-2016-100720,2016-07-16,2016-07-21,Standard Class,CK-12205,Pennsylvania,TEC-PH-10001425,Technology,Phones,143.982,3,0.4,-28.7964
CA-2017-132353,2017-09-15,2017-09-17,First Class,DB-13060,Illinois,TEC-PH-10004536,Technology,Phones,323.976,3,0.2,20.2485
CA-2017-143259,2017-12-30,2018-01-03,Standard Class,PO-18865,New York,TEC-PH-10004774,Technology,Phones,90.93,7,0,2.7279
CA-2017-166128,2017-04-11,2017-04-18,Standard Class,LW-17215,California,TEC-AC-10001767,Technology,Accessories,199.95,5,0,21.9945
CA-2015-157770,2015-12-13,2015-12-15,First Class,RD-19585,California,TEC-PH-10001530,Technology,Phones,494.376,3,0.2,49.4376
CA-2015-157770,2015-12-13,2015-12-15,First Class,RD-19585,California,TEC-AC-10001552,Technology,Accessories,248.85,5,0,27.3735
CA-2015-157770,2015-12-13,2015-12-15,First Class,RD-19585,California,TEC-AC-10003399,Technology,Accessories,36.24,1,0,15.2208
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,California,TEC-AC-10003027,Technology,Accessories,90.57,3,0,11.7741
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Texas,TEC-PH-10004977,Technology,Phones,1097.544,7,0.2,123.47
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Illinois,TEC-PH-10004093,Technology,Phones,147.168,4,0.2,16.5564
CA-2014-218492,2017-03-14,2017-03-19,Standard Class,SW-20455,California,TEC-PH-10002185,Technology,Phones,142.7448,13,0,22.8936
