row_id,order_id,order_date,ship_date,ship_mode,customer_id,city,state,product_id,category,sub_category,product_name,sales,quantity,discount,profit
1,CA-2016-152156,11-08-2016,11-11-2016,Second Class,CG-12520,Henderson,Kentucky,FUR-BO-10001798,Furni,Bookcases,Bush Somerset Collection Bookcase,261.96,2,,41.9136
2,CA-2016-152156,11-08-2016,11-11-2016,Second Class,CG-12520,Henderson,Kentucky,FUR-CH-10000454,Furni,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,
3,CA-2016-138688,06-12-2016,06/16/2016,Second Class,DV-13045,Los Angeles,California,OFF-LA-10000240,OfficeSupply,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
4,US-2015-108966,10-11-2015,10/18/2015,Standard Class,SO-20335,Fort Lauderdale,Florida,FUR-TA-10000577,Furni,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
5,US-2015-108966,10-11-2015,10/18/2015,Standard Class,SO-20335,Fort Lauderdale,Florida,OFF-ST-10000760,OfficeSupply,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
6,CA-2014-115812,06-09-2014,06/14/2014,Standard Class,BH-11710,Los Angeles,California,FUR-FU-10001487,Furni,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,
7,CA-2014-115812,06-09-2014,06/14/2014,Standard Class,BH-11710,Los Angeles,California,OFF-AR-10002833,OfficeSupply,Art,Newell 322,7.28,4,0,1.97
8,CA-2014-115812,06-09-2014,06/14/2014,Standard Class,BH-11710,Los Angeles,California,TEC-PH-10002275,technologies,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
9,CA-2014-115812,06-09-2014,06/14/2014,Standard Class,BH-11710,Los Angeles,California,OFF-BI-10003910,OfficeSupply,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
10,CA-2014-115812,06-09-2014,06/14/2014,Standard Class,BH-11710,Los Angeles,California,OFF-AP-10002892,OfficeSupply,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
11,CA-2014-115812,06-09-2014,06/14/2014,Standard Class,BH-11710,Los Angeles,California,FUR-TA-10001539,Furni,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
12,CA-2014-115812,06-09-2014,06/14/2014,Standard Class,BH-11710,Los Angeles,California,TEC-PH-10002033,Tech,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,
13,CA-2017-114412,04/15/2017,04/20/2017,Standard Class,AA-10480,Concord,North Carolina,OFF-PA-10002365,OfficeSupply,Paper,Xerox 1967,15.552,3,0.2,5.4432
14,CA-2016-161389,12-05-2016,12-10-2016,Standard Class,IM-15070,Seattle,Washington,OFF-BI-10003656,OfficeSupply,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Fort Worth,Texas,OFF-AP-10002311,OfficeSupply,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Fort Worth,Texas,OFF-BI-10000756,OfficeSupply,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.82
17,CA-2014-105893,11-11-2014,11/18/2014,Standard Class,PK-19075,Madison,Wisconsin,OFF-ST-10004186,OfficeSupply,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
18,CA-2014-167164,05/13/2014,05/15/2014,Second Class,AG-10270,West Jordan,Utah,OFF-ST-10000107,OfficeSupply,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
19,CA-2014-143336,08/27/2014,09-01-2014,Second Class,ZD-21925,San Francisco,California,OFF-AR-10003056,OfficeSupply,Art,Newell 341,8.56,2,0,2.4824
20,CA-2014-143336,08/27/2014,09-01-2014,Second Class,ZD-21925,San Francisco,California,TEC-PH-10001949,Tech,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
21,CA-2014-143336,08/27/2014,09-01-2014,Second Class,ZD-21925,San Francisco,California,OFF-BI-10002215,OfficeSupply,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
22,CA-2016-137330,12-09-2016,12/13/2016,Standard Class,KB-16585,Fremont,Nebraska,OFF-AR-10000246,OfficeSupply,Art,Newell 318,19.46,7,0,5.0596
23,CA-2016-137330,12-09-2016,12/13/2016,Standard Class,KB-16585,Fremont,Nebraska,OFF-AP-10001492,OfficeSupply,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
24,US-2017-156909,07/16/2017,07/18/2017,Second Class,SF-20065,Philadelphia,Pennsylvania,FUR-CH-10002774,Furni,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
25,CA-2015-106320,09/25/2015,09/30/2015,Standard Class,EB-13870,Orem,Utah,FUR-TA-10000577,Furni,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
26,CA-2016-121755,01/16/2016,01/20/2016,Second Class,EH-13945,Los Angeles,California,OFF-BI-10001634,OfficeSupply,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
27,CA-2016-121755,01/16/2016,01/20/2016,Second Class,EH-13945,Los Angeles,California,TEC-AC-10003027,technologies,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
28,US-2015-150630,09/17/2015,09/21/2015,Standard Class,TB-21520,Philadelphia,Pennsylvania,FUR-BO-10004834,Furni,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
29,US-2015-150630,09/17/2015,09/21/2015,Standard Class,TB-21520,Philadelphia,Pennsylvania,OFF-BI-10000474,OfficeSupply,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
30,US-2015-150630,09/17/2015,09/21/2015,Standard Class,TB-21520,Philadelphia,Pennsylvania,FUR-FU-10004848,Furni,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
31,US-2015-150630,09/17/2015,09/21/2015,Standard Class,TB-21520,Philadelphia,Pennsylvania,OFF-EN-10001509,OfficeSupply,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
32,US-2015-150630,09/17/2015,09/21/2015,Standard Class,TB-21520,Philadelphia,Pennsylvania,OFF-AR-10004042,OfficeSupply,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,
33,US-2015-150630,09/17/2015,09/21/2015,Standard Class,TB-21520,Philadelphia,Pennsylvania,OFF-BI-10001525,OfficeSupply,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
34,US-2015-150630,09/17/2015,09/21/2015,Standard Class,TB-21520,Philadelphia,Pennsylvania,OFF-AR-10001683,OfficeSupply,Art,Lumber Crayons,15.76,2,0.2,3.546
35,CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Houston,Texas,OFF-PA-10000249,OfficeSupply,Paper,Easy-staple paper,29.472,3,0.2,9.9468
36,CA-2016-117590,12-08-2016,12-10-2016,First Class,GH-14485,Richardson,Texas,TEC-PH-10004977,technologies,Phones,GE 30524EE4,1097.544,7,0.2,123.47
37,CA-2016-117590,12-08-2016,12-10-2016,First Class,GH-14485,Richardson,Texas,FUR-FU-10003664,Furni,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
38,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Houston,Texas,OFF-EN-10002986,OfficeSupply,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
